Date,next day,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
2005/12/31,Mostly Cloudy,rain,0.577777778,-4.05,0.89,17.1143,140,9.982,1016.66
2006/1/1,Overcast,rain,3.95,-0.304347826,0.820434783,20.9524,142.9130435,11.3547,1012.058696
2006/1/2,Overcast,rain,5.190096618,1.762560386,0.852173913,17.4335,165.7391304,8.3741,1010.484783
2006/1/3,Overcast,rain,2.340509259,0.44537037,0.897083333,7.726658333,252.5416667,9.223958333,1021.170833
2006/1/4,Overcast,rain,2.251932367,-0.644202899,0.906086957,12.1506,35.95652174,8.232,1024.456522
2006/1/5,Overcast,rain,2.642171717,0.373232323,0.950454545,9.078204545,122.2272727,4.226981818,1020.953182
2006/1/6,Foggy,rain,2.550462963,1.23125,0.945833333,5.7295875,269.5,4.635458333,1023.645833
2006/1/7,Partly Cloudy,rain,0.877083333,-0.749768519,0.935833333,6.589595833,102.0416667,4.585816667,1030.22375
2006/1/8,Mostly Cloudy,snow,-2.151851852,-3.325,0.948333333,4.6529,55.33333333,4.301383333,1034.15
2006/1/9,Mostly Cloudy,snow,-0.088034188,-1.167094017,0.736153846,5.028153846,219.8461538,9.982,1033.650769
2006/1/10,Mostly Cloudy,snow,-0.844949495,-0.995707071,0.833636364,3.558831818,295.6363636,7.342331818,1032.877727
2006/1/11,Mostly Cloudy,snow,-1.392361111,-2.270601852,0.89875,5.115775,194.5833333,3.745933333,1032.370833
2006/1/15,Overcast,snow,-3.366666667,-6.222222222,0.845,7.0035,120.75,9.499,1034.695
2006/1/16,Overcast,snow,-3.639814815,-3.639814815,0.818333333,2.543129167,190.4166667,9.799533333,1031.513333
2006/1/17,Overcast,snow,-3.776157407,-8.27037037,0.895416667,12.578125,153.2083333,5.362641667,1024.19
2006/1/18,Partly Cloudy,rain,1.972916667,-1.324074074,0.9275,12.553975,226.2083333,6.258204167,1007.477083
2006/1/19,Mostly Cloudy,snow,-1.5375,-6.111944444,0.79,15.48176,304.4,11.460785,1020.9615
2006/1/20,Mostly Cloudy,snow,-2.145601852,-4.600925926,0.83125,7.944679167,186.625,10.98355417,1026.86375
2006/1/21,Mostly Cloudy,rain,0.736342593,-1.488888889,0.860416667,7.8467375,199.1666667,9.97395,1020.55
2006/1/25,Partly Cloudy,snow,-8.308333333,-10.91349206,0.73,5.92595,153.7857143,9.65655,1030.518571
2006/1/26,Partly Cloudy,snow,-7.934722222,-12.07708333,0.7075,9.180354167,91.16666667,10.9218375,1028.184583
2006/1/27,Mostly Cloudy,snow,-6.629166667,-8.997685185,0.68875,6.382308333,75.58333333,9.570779167,1031.580417
2006/1/28,Partly Cloudy,snow,-3.493055556,-4.881481481,0.715833333,5.271408333,77.95833333,8.2432,1031.795417
2006/1/29,Overcast,snow,0.484027778,-2.184259259,0.680833333,8.847620833,34.16666667,7.895708333,1031.14375
2006/1/30,Overcast,rain,-0.11712963,-1.513888889,0.78375,5.685983333,143.0833333,6.829083333,1029.2675
2006/1/31,Overcast,snow,-1.432175926,-4.195601852,0.884583333,8.7443125,302.0416667,4.8964125,1023.720833
2006/2/1,Foggy,snow,-1.951157407,-3.985648148,0.864166667,6.619783333,208.4166667,5.037958333,1024.91375
2006/2/2,Overcast,snow,-3.465740741,-5.094212963,0.914166667,5.485404167,276.625,2.797375,1020.4925
2006/2/3,Overcast,snow,-3.402546296,-4.517592593,0.79125,3.921020833,231.9583333,5.284154167,1019.554167
2006/2/4,Clear,snow,-3.72037037,-6.902314815,0.809583333,7.925895833,304.5833333,4.495925,1022.59125
2006/2/5,Clear,snow,-5.761111111,-10.73357488,0.710434783,14.434,91.39130435,8.8403,1027.559565
2006/2/6,Mostly Cloudy,snow,-7.019907407,-12.76643519,0.667916667,15.30573333,167.4583333,11.86301667,1026.9425
2006/2/7,Overcast,snow,-5.681712963,-9.753935185,0.645416667,12.83907917,223.0416667,10.6320375,1022.259583
2006/2/8,Foggy,snow,-1.706944444,-5.58287037,0.902916667,11.18279167,171.6666667,6.056283333,1011.023333
2006/2/9,Foggy,snow,-1.21875,-4.547916667,0.931666667,9.786116667,228.6666667,2.494158333,1007.133333
2006/2/10,Foggy,snow,-1.34375,-2.593055556,0.971666667,5.1781625,190.875,0.6621125,1012.290417
2006/2/11,Overcast,snow,-1.338194444,-3.820138889,0.925416667,8.172091667,290.0416667,4.4415875,1019.000417
2006/2/12,Partly Cloudy,snow,-1.295833333,-5.406481481,0.814583333,13.16510417,304.0416667,10.4328,1023.030833
2006/2/13,Mostly Cloudy,snow,-2.424537037,-5.050231481,0.799166667,8.093604167,243.8333333,10.00749167,1023.25375
2006/2/14,Foggy,snow,-1.083796296,-2.432175926,0.859583333,5.3834375,203.3333333,6.453416667,1023.77125
2006/2/15,Foggy,snow,-1.768981481,-5.259027778,0.92125,11.87643333,144.375,3.291108333,1019.562917
2006/2/16,Mostly Cloudy,rain,1.994444444,-2.54537037,0.95125,19.27438333,167.25,2.728279167,1002.630417
2006/2/17,Mostly Cloudy,rain,3.301851852,0.678835979,0.949047619,10.6214,177,8.2938,1002.236667
2006/2/18,Partly Cloudy,rain,5.893981481,3.554398148,0.817083333,14.57787917,174.75,11.82209583,1010.842917
2006/2/19,Mostly Cloudy,rain,7.663425926,5.844212963,0.737083333,11.57724167,188.0833333,12.223925,1012.106667
2006/2/20,Overcast,rain,8.063657407,6.05162037,0.772916667,15.80483333,160.125,11.68994167,1010.90625
2006/2/21,Mostly Cloudy,rain,7.195454545,5.937878788,0.890909091,9.052590909,161.5909091,8.592277273,1013.662273
2006/2/22,Mostly Cloudy,rain,4.846990741,2.681481481,0.85625,9.818316667,296.2916667,9.502354167,1018.294167
2006/2/23,Overcast,rain,1.963657407,-0.474074074,0.856666667,10.47975833,139.875,8.742970833,1020.710833
2006/2/24,Overcast,rain,3.355787037,-0.662268519,0.880833333,18.14805417,51.29166667,10.058475,1014.745417
2006/2/25,Overcast,rain,1.750925926,0.859722222,0.934583333,5.1540125,127.5,6.549345833,1012.433333
2006/2/26,Mostly Cloudy,rain,0.588425926,-2.890509259,0.9075,12.054875,225.125,6.394383333,1009.659583
2006/2/27,Overcast,snow,-2.221875,-7.107638889,0.755625,16.74701875,269.4375,10.31104375,1014.35
2006/2/28,Partly Cloudy,snow,-3.488055556,-8.308333333,0.7855,14.39823,151.2,7.397145,1010.5695
2006/3/1,Foggy,snow,-2.540046296,-6.679166667,0.842083333,12.37150833,207.5,8.739616667,1008.688333
2006/3/2,Mostly Cloudy,snow,-1.770138889,-4.858564815,0.876666667,9.719704167,151.375,6.5587375,1008.077917
2006/3/3,Mostly Cloudy,rain,-0.896135266,-5.02826087,0.807391304,14.8078,188.7826087,9.9596,1009.986522
2006/3/4,Overcast,rain,6.905555556,4.404444444,0.772,17.27369,170.3,12.85746,1000.541
2006/3/5,Clear,rain,0.81,-3.931666667,0.933,19.39084,252.7,5.84913,1002.731
2006/3/6,Partly Cloudy,snow,-1.075231481,-5.250925926,0.858333333,12.84310417,312.0833333,6.577520833,1010.28375
2006/3/7,Clear,snow,-0.990046296,-6.129166667,0.674166667,18.33655833,263.5833333,11.24450833,1012.949167
2006/3/8,Overcast,snow,-1.242361111,-4.697222222,0.68125,12.28161667,148.5833333,10.93257083,1017.023333
2006/3/9,Overcast,rain,0.501690821,-4.347342995,0.757391304,19.2031,165.1304348,10.073,1010.622609
2006/3/10,Overcast,rain,4.463425926,2.109722222,0.874583333,10.65685833,175.7916667,9.105220833,1005.215417
2006/3/11,Overcast,rain,4.631944444,2.471759259,0.854166667,10.19599583,279.0416667,8.044633333,1002.85125
2006/3/12,Overcast,rain,1.522222222,-1.937037037,0.914444444,13.33616667,129.2222222,5.985622222,1007.185556
2006/3/13,Overcast,snow,-1.430555556,-7.497916667,0.92125,23.365125,51,6.057625,1017.26625
2006/3/14,Overcast,rain,-0.173611111,-4.509722222,0.859166667,14.7959,273.4166667,6.264241667,1019.144167
2006/3/15,Overcast,rain,1.210185185,0.042361111,0.797083333,5.3029375,297.4166667,8.459879167,1020.908333
